orderid,customername,productname,quantity,TotalRevenue
16,"Vedant Mann",Bookshelf,2,70334.1340
16,"Vedant Mann",Monitor,9,493090.5600
176,"Vedant Mann",Bed,12,260081.9280
176,"Vedant Mann",Sofa,1,18907.6000
176,"Vedant Mann","Water Purifier",11,228283.9900
161,"Sudiksha Patla","Water Purifier",8,166024.7200
52,"Ekbal Garg",Monitor,8,416387.5840
52,"Ekbal Garg",Laptop,8,276970.4000
52,"Ekbal Garg","Water Purifier",3,62259.2700
52,"Ekbal Garg",Sofa,5,75630.4000
159,"Ekbal Garg",Printer,10,140523.5000
159,"Ekbal Garg",Fan,3,84941.4855
159,"Ekbal Garg",Microwave,10,393884.1350
159,"Ekbal Garg",Bed,5,108367.4700
10,"Ekta Bhalla","Mobile Phone",10,222225.4250
18,"Ekta Bhalla",Laptop,6,166182.2400
54,"Ekta Bhalla","Study Table",2,67661.2080
59,"Ekta Bhalla",Monitor,12,624581.3760
59,"Ekta Bhalla","File Folder",5,126315.8550
59,"Ekta Bhalla",Football,9,54883.8180
59,"Ekta Bhalla",Sofa,8,151260.8000
75,"Ekta Bhalla","Study Table",7,236814.2280
75,"Ekta Bhalla",Microwave,11,407785.9280
93,"Ekta Bhalla",Football,10,64191.6000
93,"Ekta Bhalla","File Folder",2,56140.3800
93,"Ekta Bhalla",Headphones,5,96060.4650
93,"Ekta Bhalla",Bed,11,238408.4340
105,"Ekta Bhalla","Dumbbell Set",5,66990.2000
105,"Ekta Bhalla",Bookshelf,2,82746.0400
170,"Ekta Bhalla","Cricket Bat",3,54094.0200
190,"Ekta Bhalla","Mobile Phone",7,130996.0400
190,"Ekta Bhalla",Notebook,9,4297.6800
190,"Ekta Bhalla",Iron,12,576174.1260
190,"Ekta Bhalla","Cricket Bat",7,126219.3800
199,"Ekta Bhalla","Dumbbell Set",1,12728.1380
4,"Dominic Kakar","Cricket Bat",9,162282.0600
4,"Dominic Kakar",Marker,12,517507.5960
4,"Dominic Kakar","Office Chair",10,356359.2500
14,"Dominic Kakar","Mixer Grinder",4,120998.4120
30,"Dominic Kakar",Marker,11,448027.4095
30,"Dominic Kakar","Pen Set",1,38567.3280
30,"Dominic Kakar","Study Table",2,60143.2960
30,"Dominic Kakar",Printer,7,98366.4500
96,"Dominic Kakar","Yoga Mat",12,580393.0800
129,"Dominic Kakar",Football,5,30491.0100
129,"Dominic Kakar",Printer,1,12647.1150
146,"Dominic Kakar","Dumbbell Set",11,132640.5960
146,"Dominic Kakar","Mixer Grinder",3,80665.6080
