OrderID,CustomerName,ProductName,Quantity,Discount,LineRevenue
16,"Vedant Mann",Bookshelf,2,0.15,70334.1340
16,"Vedant Mann",Monitor,9,0.00,493090.5600
176,"Vedant Mann",Bed,12,0.10,260081.9280
176,"Vedant Mann",Sofa,1,0.00,18907.6000
176,"Vedant Mann","Water Purifier",11,0.00,228283.9900
161,"Sudiksha Patla","Water Purifier",8,0.00,166024.7200
52,"Ekbal Garg",Monitor,8,0.05,416387.5840
52,"Ekbal Garg",Laptop,8,0.00,276970.4000
52,"Ekbal Garg","Water Purifier",3,0.00,62259.2700
52,"Ekbal Garg",Sofa,5,0.20,75630.4000
159,"Ekbal Garg",Printer,10,0.00,140523.5000
159,"Ekbal Garg",Fan,3,0.05,84941.4855
159,"Ekbal Garg",Microwave,10,0.15,393884.1350
159,"Ekbal Garg",Bed,5,0.10,108367.4700
10,"Ekta Bhalla","Mobile Phone",10,0.05,222225.4250
18,"Ekta Bhalla",Laptop,6,0.20,166182.2400
54,"Ekta Bhalla","Study Table",2,0.10,67661.2080
59,"Ekta Bhalla",Monitor,12,0.05,624581.3760
59,"Ekta Bhalla","File Folder",5,0.10,126315.8550
59,"Ekta Bhalla",Football,9,0.05,54883.8180
59,"Ekta Bhalla",Sofa,8,0.00,151260.8000
75,"Ekta Bhalla","Study Table",7,0.10,236814.2280
75,"Ekta Bhalla",Microwave,11,0.20,407785.9280
93,"Ekta Bhalla",Football,10,0.00,64191.6000
93,"Ekta Bhalla","File Folder",2,0.00,56140.3800
93,"Ekta Bhalla",Headphones,5,0.10,96060.4650
93,"Ekta Bhalla",Bed,11,0.10,238408.4340
105,"Ekta Bhalla","Dumbbell Set",5,0.00,66990.2000
105,"Ekta Bhalla",Bookshelf,2,0.00,82746.0400
170,"Ekta Bhalla","Cricket Bat",3,0.00,54094.0200
190,"Ekta Bhalla","Mobile Phone",7,0.20,130996.0400
190,"Ekta Bhalla",Notebook,9,0.00,4297.6800
190,"Ekta Bhalla",Iron,12,0.05,576174.1260
190,"Ekta Bhalla","Cricket Bat",7,0.00,126219.3800
199,"Ekta Bhalla","Dumbbell Set",1,0.05,12728.1380
4,"Dominic Kakar","Cricket Bat",9,0.00,162282.0600
4,"Dominic Kakar",Marker,12,0.10,517507.5960
4,"Dominic Kakar","Office Chair",10,0.05,356359.2500
14,"Dominic Kakar","Mixer Grinder",4,0.10,120998.4120
30,"Dominic Kakar",Marker,11,0.15,448027.4095
30,"Dominic Kakar","Pen Set",1,0.20,38567.3280
30,"Dominic Kakar","Study Table",2,0.20,60143.2960
30,"Dominic Kakar",Printer,7,0.00,98366.4500
96,"Dominic Kakar","Yoga Mat",12,0.00,580393.0800
129,"Dominic Kakar",Football,5,0.05,30491.0100
129,"Dominic Kakar",Printer,1,0.10,12647.1150
146,"Dominic Kakar","Dumbbell Set",11,0.10,132640.5960
146,"Dominic Kakar","Mixer Grinder",3,0.20,80665.6080
183,"Dominic Kakar",Headphones,8,0.00,170774.1600
215,"Dominic Kakar",Marker,6,0.00,287504.2200
215,"Dominic Kakar","Badminton Racket",4,0.15,164312.2420
215,"Dominic Kakar",Headphones,11,0.05,223073.7465
1,"Luke Lanka","Cricket Bat",9,0.00,162282.0600
1,"Luke Lanka",Marker,5,0.10,215628.1650
74,"Priya Rastogi","Mobile Phone",6,0.20,112282.3200
99,"Priya Rastogi","Badminton Racket",9,0.20,347955.3360
99,"Priya Rastogi",Whiteboard,10,0.10,481160.5200
124,"Priya Rastogi",Bookshelf,9,0.00,372357.1800
124,"Priya Rastogi","File Folder",7,0.00,196491.3300
206,"Priya Rastogi",Bookshelf,5,0.10,186178.5900
206,"Priya Rastogi","Mobile Phone",10,0.15,198833.2750
206,"Priya Rastogi",Headphones,1,0.00,21346.7700
206,"Priya Rastogi","Cricket Bat",6,0.00,108188.0400
213,"Priya Rastogi","Pen Set",7,0.05,320590.9140
213,"Priya Rastogi",Laptop,2,0.15,58856.2100
213,"Priya Rastogi",Sofa,9,0.00,170168.4000
12,"Champak Choudhary",Whiteboard,11,0.10,529276.5720
41,"Champak Choudhary","Water Purifier",7,0.15,123480.8855
41,"Champak Choudhary","Cricket Bat",4,0.00,72125.3600
41,"Champak Choudhary","Pen Set",10,0.15,409777.8600
178,"Champak Choudhary",Printer,3,0.05,40049.1975
178,"Champak Choudhary",Marker,12,0.10,517507.5960
187,"Champak Choudhary","Office Chair",2,0.10,67520.7000
187,"Champak Choudhary",Headphones,1,0.05,20279.4315
19,"Lekha Raj","Mixer Grinder",12,0.00,403328.0400
19,"Lekha Raj",Laptop,9,0.00,311591.7000
19,"Lekha Raj",Monitor,6,0.10,295854.3360
19,"Lekha Raj",Headphones,9,0.00,192120.9300
38,"Lekha Raj",Bed,7,0.00,168571.6200
38,"Lekha Raj","Office Chair",7,0.00,262580.5000
38,"Lekha Raj","File Folder",2,0.05,53333.3610
38,"Lekha Raj","Dumbbell Set",1,0.15,11388.3340
65,"Lekha Raj",Laptop,11,0.10,342750.8700
97,"Lekha Raj",Whiteboard,6,0.20,256618.9440
144,"Lekha Raj","File Folder",3,0.10,75789.5130
